Kod stanowiska,Data,Wartość,id_stacji
DsKlodzSzkol-PM10-1g,2026-06-01 02:00:00,17.7,224
DsKlodzSzkol-PM10-1g,2026-06-01 01:00:00,14.8,224
DsKlodzSzkol-PM10-1g,2026-06-01 00:00:00,15.4,224
DsKlodzSzkol-PM2.5-1g,2026-06-01 19:00:00,9.5,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 18:00:00,12.0,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 17:00:00,11.7,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 16:00:00,12.3,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 15:00:00,11.6,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 14:00:00,12.1,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 13:00:00,13.1,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 12:00:00,17.6,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 11:00:00,11.3,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 10:00:00,11.0,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 09:00:00,10.6,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 08:00:00,11.8,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 07:00:00,11.7,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 06:00:00,11.3,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 05:00:00,10.1,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 04:00:00,9.3,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 03:00:00,9.8,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 02:00:00,10.2,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 01:00:00,9.7,25988
DsKlodzSzkol-PM2.5-1g,2026-06-01 00:00:00,9.9,25988
DsLegAlRzecz-C6H6-1g,2026-06-01 19:00:00,0.04,282
DsLegAlRzecz-C6H6-1g,2026-06-01 18:00:00,0.06,282
DsLegAlRzecz-C6H6-1g,2026-06-01 17:00:00,0.06,282
DsLegAlRzecz-C6H6-1g,2026-06-01 16:00:00,0.07,282
DsLegAlRzecz-C6H6-1g,2026-06-01 15:00:00,0.07,282
DsLegAlRzecz-C6H6-1g,2026-06-01 14:00:00,0.08,282
DsLegAlRzecz-C6H6-1g,2026-06-01 13:00:00,0.07,282
DsLegAlRzecz-C6H6-1g,2026-06-01 12:00:00,0.09,282
DsLegAlRzecz-C6H6-1g,2026-06-01 11:00:00,0.13,282
DsLegAlRzecz-C6H6-1g,2026-06-01 10:00:00,0.15,282
DsLegAlRzecz-C6H6-1g,2026-06-01 09:00:00,0.13,282
DsLegAlRzecz-C6H6-1g,2026-06-01 08:00:00,0.13,282
DsLegAlRzecz-C6H6-1g,2026-06-01 07:00:00,0.15,282
DsLegAlRzecz-C6H6-1g,2026-06-01 06:00:00,0.13,282
DsLegAlRzecz-C6H6-1g,2026-06-01 05:00:00,0.16,282
DsLegAlRzecz-C6H6-1g,2026-06-01 04:00:00,0.14,282
DsLegAlRzecz-C6H6-1g,2026-06-01 03:00:00,0.14,282
DsLegAlRzecz-C6H6-1g,2026-06-01 02:00:00,0.16,282
DsLegAlRzecz-C6H6-1g,2026-06-01 01:00:00,0.11,282
DsLegAlRzecz-C6H6-1g,2026-06-01 00:00:00,0.11,282
DsLegAlRzecz-NO-1g,2026-06-01 19:00:00,0.9,290
DsLegAlRzecz-NO-1g,2026-06-01 18:00:00,1.5,290
DsLegAlRzecz-NO-1g,2026-06-01 17:00:00,3.6,290
DsLegAlRzecz-NO-1g,2026-06-01 16:00:00,2.0,290
DsLegAlRzecz-NO-1g,2026-06-01 15:00:00,1.9,290
DsLegAlRzecz-NO-1g,2026-06-01 14:00:00,2.9,290
DsLegAlRzecz-NO-1g,2026-06-01 13:00:00,3.5,290
DsLegAlRzecz-NO-1g,2026-06-01 12:00:00,4.6,290
DsLegAlRzecz-NO-1g,2026-06-01 11:00:00,3.6,290
DsLegAlRzecz-NO-1g,2026-06-01 10:00:00,3.3,290
DsLegAlRzecz-NO-1g,2026-06-01 09:00:00,3.4,290
DsLegAlRzecz-NO-1g,2026-06-01 08:00:00,2.6,290
DsLegAlRzecz-NO-1g,2026-06-01 07:00:00,1.9,290
DsLegAlRzecz-NO-1g,2026-06-01 06:00:00,0.8,290
DsLegAlRzecz-NO-1g,2026-06-01 05:00:00,0.7,290
DsLegAlRzecz-NO-1g,2026-06-01 04:00:00,0.7,290
DsLegAlRzecz-NO-1g,2026-06-01 03:00:00,0.6,290
DsLegAlRzecz-NO-1g,2026-06-01 02:00:00,0.5,290
DsLegAlRzecz-NO-1g,2026-06-01 01:00:00,,290
DsLegAlRzecz-NO-1g,2026-06-01 00:00:00,0.3,290
DsLegAlRzecz-NO2-1g,2026-06-01 19:00:00,8.4,291
DsLegAlRzecz-NO2-1g,2026-06-01 18:00:00,8.9,291
DsLegAlRzecz-NO2-1g,2026-06-01 17:00:00,12.7,291
DsLegAlRzecz-NO2-1g,2026-06-01 16:00:00,9.4,291
DsLegAlRzecz-NO2-1g,2026-06-01 15:00:00,7.2,291
DsLegAlRzecz-NO2-1g,2026-06-01 14:00:00,10.9,291
DsLegAlRzecz-NO2-1g,2026-06-01 13:00:00,11.5,291
DsLegAlRzecz-NO2-1g,2026-06-01 12:00:00,13.7,291
DsLegAlRzecz-NO2-1g,2026-06-01 11:00:00,12.3,291
DsLegAlRzecz-NO2-1g,2026-06-01 10:00:00,9.6,291
DsLegAlRzecz-NO2-1g,2026-06-01 09:00:00,12.0,291
DsLegAlRzecz-NO2-1g,2026-06-01 08:00:00,11.6,291
DsLegAlRzecz-NO2-1g,2026-06-01 07:00:00,13.0,291
DsLegAlRzecz-NO2-1g,2026-06-01 06:00:00,13.6,291
DsLegAlRzecz-NO2-1g,2026-06-01 05:00:00,12.2,291
DsLegAlRzecz-NO2-1g,2026-06-01 04:00:00,11.6,291
DsLegAlRzecz-NO2-1g,2026-06-01 03:00:00,10.3,291
DsLegAlRzecz-NO2-1g,2026-06-01 02:00:00,10.3,291
DsLegAlRzecz-NO2-1g,2026-06-01 01:00:00,,291
DsLegAlRzecz-NO2-1g,2026-06-01 00:00:00,8.1,291
DsLegAlRzecz-NOx-1g,2026-06-01 19:00:00,9.9,292
DsLegAlRzecz-NOx-1g,2026-06-01 18:00:00,11.3,292
DsLegAlRzecz-NOx-1g,2026-06-01 17:00:00,18.3,292
DsLegAlRzecz-NOx-1g,2026-06-01 16:00:00,12.5,292
DsLegAlRzecz-NOx-1g,2026-06-01 15:00:00,10.2,292
DsLegAlRzecz-NOx-1g,2026-06-01 14:00:00,15.4,292
DsLegAlRzecz-NOx-1g,2026-06-01 13:00:00,16.9,292
DsLegAlRzecz-NOx-1g,2026-06-01 12:00:00,20.9,292
DsLegAlRzecz-NOx-1g,2026-06-01 11:00:00,17.7,292
DsLegAlRzecz-NOx-1g,2026-06-01 10:00:00,14.6,292
DsLegAlRzecz-NOx-1g,2026-06-01 09:00:00,17.2,292
DsLegAlRzecz-NOx-1g,2026-06-01 08:00:00,15.5,292
DsLegAlRzecz-NOx-1g,2026-06-01 07:00:00,15.8,292
DsLegAlRzecz-NOx-1g,2026-06-01 06:00:00,14.7,292
DsLegAlRzecz-NOx-1g,2026-06-01 05:00:00,13.4,292
DsLegAlRzecz-NOx-1g,2026-06-01 04:00:00,12.7,292
DsLegAlRzecz-NOx-1g,2026-06-01 03:00:00,11.3,292
DsLegAlRzecz-NOx-1g,2026-06-01 02:00:00,11.1,292
DsLegAlRzecz-NOx-1g,2026-06-01 01:00:00,,292
DsLegAlRzecz-NOx-1g,2026-06-01 00:00:00,8.5,292
DsLegAlRzecz-O3-1g,2026-06-01 19:00:00,82.3,293
DsLegAlRzecz-O3-1g,2026-06-01 18:00:00,81.6,293
DsLegAlRzecz-O3-1g,2026-06-01 17:00:00,76.3,293
DsLegAlRzecz-O3-1g,2026-06-01 16:00:00,75.6,293
DsLegAlRzecz-O3-1g,2026-06-01 15:00:00,75.1,293
DsLegAlRzecz-O3-1g,2026-06-01 14:00:00,66.6,293
DsLegAlRzecz-O3-1g,2026-06-01 13:00:00,75.2,293
DsLegAlRzecz-O3-1g,2026-06-01 12:00:00,70.0,293
DsLegAlRzecz-O3-1g,2026-06-01 11:00:00,63.2,293
DsLegAlRzecz-O3-1g,2026-06-01 10:00:00,44.1,293
DsLegAlRzecz-O3-1g,2026-06-01 09:00:00,33.9,293
DsLegAlRzecz-O3-1g,2026-06-01 08:00:00,35.1,293
DsLegAlRzecz-O3-1g,2026-06-01 07:00:00,33.0,293
DsLegAlRzecz-O3-1g,2026-06-01 06:00:00,31.9,293
DsLegAlRzecz-O3-1g,2026-06-01 05:00:00,31.2,293
DsLegAlRzecz-O3-1g,2026-06-01 04:00:00,32.3,293
DsLegAlRzecz-O3-1g,2026-06-01 03:00:00,40.5,293
DsLegAlRzecz-O3-1g,2026-06-01 02:00:00,,293
DsLegAlRzecz-O3-1g,2026-06-01 01:00:00,53.6,293
DsLegAlRzecz-O3-1g,2026-06-01 00:00:00,57.3,293
DsLegAlRzecz-SO2-1g,2026-06-01 19:00:00,3.6,297
DsLegAlRzecz-SO2-1g,2026-06-01 18:00:00,3.4,297
DsLegAlRzecz-SO2-1g,2026-06-01 17:00:00,3.2,297
DsLegAlRzecz-SO2-1g,2026-06-01 16:00:00,3.5,297
DsLegAlRzecz-SO2-1g,2026-06-01 15:00:00,3.6,297
DsLegAlRzecz-SO2-1g,2026-06-01 14:00:00,3.7,297
DsLegAlRzecz-SO2-1g,2026-06-01 13:00:00,3.0,297
DsLegAlRzecz-SO2-1g,2026-06-01 12:00:00,3.8,297
DsLegAlRzecz-SO2-1g,2026-06-01 11:00:00,4.1,297
DsLegAlRzecz-SO2-1g,2026-06-01 10:00:00,3.8,297
DsLegAlRzecz-SO2-1g,2026-06-01 09:00:00,3.8,297
DsLegAlRzecz-SO2-1g,2026-06-01 08:00:00,4.0,297
DsLegAlRzecz-SO2-1g,2026-06-01 07:00:00,3.4,297
DsLegAlRzecz-SO2-1g,2026-06-01 06:00:00,3.6,297
DsLegAlRzecz-SO2-1g,2026-06-01 05:00:00,3.8,297
DsLegAlRzecz-SO2-1g,2026-06-01 04:00:00,4.1,297
DsLegAlRzecz-SO2-1g,2026-06-01 03:00:00,3.9,297
DsLegAlRzecz-SO2-1g,2026-06-01 02:00:00,4.1,297
DsLegAlRzecz-SO2-1g,2026-06-01 01:00:00,3.6,297
DsLegAlRzecz-SO2-1g,2026-06-01 00:00:00,,297
DsLegAlRzecz-PM10-1g,2026-06-01 19:00:00,16.2,14397
DsLegAlRzecz-PM10-1g,2026-06-01 18:00:00,15.8,14397
DsLegAlRzecz-PM10-1g,2026-06-01 17:00:00,15.2,14397
DsLegAlRzecz-PM10-1g,2026-06-01 16:00:00,15.2,14397
DsLegAlRzecz-PM10-1g,2026-06-01 15:00:00,15.1,14397
DsLegAlRzecz-PM10-1g,2026-06-01 14:00:00,17.9,14397
DsLegAlRzecz-PM10-1g,2026-06-01 13:00:00,16.7,14397
DsLegAlRzecz-PM10-1g,2026-06-01 12:00:00,17.3,14397
DsLegAlRzecz-PM10-1g,2026-06-01 11:00:00,22.7,14397
DsLegAlRzecz-PM10-1g,2026-06-01 10:00:00,24.4,14397
DsLegAlRzecz-PM10-1g,2026-06-01 09:00:00,22.2,14397
DsLegAlRzecz-PM10-1g,2026-06-01 08:00:00,19.7,14397
DsLegAlRzecz-PM10-1g,2026-06-01 07:00:00,19.8,14397
DsLegAlRzecz-PM10-1g,2026-06-01 06:00:00,17.6,14397
DsLegAlRzecz-PM10-1g,2026-06-01 05:00:00,18.3,14397
DsLegAlRzecz-PM10-1g,2026-06-01 04:00:00,17.8,14397
DsLegAlRzecz-PM10-1g,2026-06-01 03:00:00,16.4,14397
DsLegAlRzecz-PM10-1g,2026-06-01 02:00:00,16.6,14397
DsLegAlRzecz-PM10-1g,2026-06-01 01:00:00,14.3,14397
DsLegAlRzecz-PM10-1g,2026-06-01 00:00:00,14.0,14397
DsLegAlRzecz-PM2.5-1g,2026-06-01 19:00:00,9.3,32560
DsLegAlRzecz-PM2.5-1g,2026-06-01 18:00:00,8.8,32560
DsLegAlRzecz-PM2.5-1g,2026-06-01 17:00:00,8.7,32560
DsLegAlRzecz-PM2.5-1g,2026-06-01 16:00:00,8.3,32560
